Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Bookstore,30%,210,1355,0.15498155,Medical & Healthcare
Head Cashier,30%,140,1064,0.131578947,Supply Chain & Logistics
Pharmacy Cashier,30%,124,629,0.197138315,Law Enforcement
Restaurant Cashier,30%,120,792,0.151515152,Construction
Retail Cashier,30%,117,730,0.160273973,Sales & Marketing
Retail Sales Consultant,30%,189,1384,0.136560694,Hospitality
Service Cashier,30%,118,784,0.150510204,Communication & PR
Store Cashier,30%,117,730,0.160273973,Data & IT
Store Detective,30%,73,516,0.141472868,Administrative & Clerical
Visual Merchandiser,30%,210,1773,0.118443316,Leadership & Strategy
Electrical Estimator,30%,176,1063,0.165569144,Medical & Healthcare
Elevator Technician,30%,128,721,0.177531207,Supply Chain & Logistics
Equipment Operator,30%,127,702,0.180911681,Law Enforcement
Field Inspector,30%,175,941,0.18597237,Construction
Foreman,30%,119,1295,0.091891892,Sales & Marketing
Heavy Equipment Operator,30%,104,1188,0.087542088,Hospitality
Lead Carpenter,30%,112,901,0.124306326,Communication & PR
Right Of Way Agent,30%,102,696,0.146551724,Data & IT
Insurance Adjuster,30%,152,1454,0.104539202,Administrative & Clerical
Rails Developer,30%,191,1584,0.120580808,Leadership & Strategy
Ruby Developer,30%,190,1583,0.120025268,Medical & Healthcare
Software Analyst,30%,279,2092,0.133365201,Supply Chain & Logistics
Software Support Engineer,30%,286,2083,0.137301968,Law Enforcement
Web Analyst,30%,251,1761,0.142532652,Construction
Administrative Analyst,30%,291,1691,0.172087522,Sales & Marketing
Analytics Consultant,30%,297,1789,0.166014533,Hospitality
Analytics Manager,30%,297,1788,0.166107383,Communication & PR
Business Analyst Manager,30%,289,1671,0.172950329,Data & IT
Business Architect,30%,255,1459,0.174777245,Administrative & Clerical
Business Development Coordinator,30%,300,1867,0.160685592,Leadership & Strategy
Business Development Executive,30%,323,1961,0.164711882,Medical & Healthcare
Business Intelligence Analyst,30%,305,1828,0.166849015,Supply Chain & Logistics
Business Strategist,30%,264,1512,0.174603175,Law Enforcement
Business Systems Analyst,30%,306,1773,0.172588832,Construction
Collection Analyst,30%,174,1017,0.171091445,Sales & Marketing
Data Engineer,30%,216,1478,0.146143437,Hospitality
Financial Business Analyst,30%,376,2519,0.149265582,Communication & PR
Imagery Analyst,30%,261,1941,0.13446677,Data & IT
It Business Analyst,30%,379,2519,0.15045653,Administrative & Clerical
Junior Analyst,30%,372,2481,0.149939541,Leadership & Strategy
Junior Business Analyst,30%,373,2496,0.149439103,Medical & Healthcare
Research Engineer,30%,205,1746,0.117411226,Supply Chain & Logistics
Senior Business Analyst,30%,294,2165,0.135796767,Law Enforcement
Data Center Technician,30%,202,1417,0.142554693,Construction
Senior Database Administrator,30%,211,1749,0.120640366,Sales & Marketing
Benefits Administrator,30%,238,1372,0.173469388,Hospitality
Employment Specialist,30%,216,1190,0.181512605,Communication & PR
Hr Specialist,30%,246,1874,0.131270011,Data & IT
Human Resources Specialist,30%,236,1811,0.130314743,Administrative & Clerical
Physician Recruiter,30%,188,1178,0.15959253,Leadership & Strategy
Reporting Analyst,30%,244,1914,0.127481714,Medical & Healthcare
Training Administrator,30%,299,1876,0.159381663,Supply Chain & Logistics
Travel Coordinator,30%,241,1611,0.149596524,Law Enforcement
Background Investigator,30%,166,1121,0.14808207,Construction
Bankruptcy Paralegal,30%,209,1341,0.15585384,Sales & Marketing
Contract Administrator,30%,226,1336,0.169161677,Hospitality
Foster Care Case Manager,30%,173,1505,0.114950166,Communication & PR
Intellectual Property Attorney,30%,196,1380,0.142028986,Data & IT
Legal Analyst,30%,235,1548,0.151808786,Administrative & Clerical
Legal Consultant,30%,220,1464,0.150273224,Leadership & Strategy
Patent Attorney,30%,176,1168,0.150684932,Medical & Healthcare
Staff Attorney,30%,135,1167,0.115681234,Supply Chain & Logistics
Development Officer,30%,174,1022,0.170254403,Law Enforcement
Major Gifts Officer,30%,219,1732,0.126443418,Construction
Outreach Worker,30%,177,1194,0.148241206,Sales & Marketing
Volunteer Manager,30%,196,1532,0.127937337,Hospitality
Youth Worker,30%,158,1318,0.119878604,Communication & PR
Announcer,30%,147,981,0.149847095,Data & IT
Scout,30%,100,586,0.170648464,Administrative & Clerical
Sports Coordinator,30%,199,1541,0.129136924,Leadership & Strategy
Automotive Instructor,30%,112,761,0.14717477,Medical & Healthcare
Biology Tutor,30%,117,778,0.150385604,Supply Chain & Logistics
Business Instructor,30%,130,859,0.151338766,Law Enforcement
Clinical Educator,30%,140,942,0.148619958,Construction
Community Assistant,30%,151,1010,0.14950495,Sales & Marketing
Culinary Instructor,30%,113,774,0.145994832,Hospitality
Educational Diagnostician,30%,132,906,0.145695364,Communication & PR
English Tutor,30%,148,1156,0.128027682,Data & IT
Esl Tutor,30%,145,1137,0.127528584,Administrative & Clerical
Instructional Aide,30%,137,1050,0.13047619,Leadership & Strategy
Instructional Assistant,30%,138,1054,0.130929791,Medical & Healthcare
Librarian,30%,200,1648,0.121359223,Supply Chain & Logistics
Medical Instructor,30%,142,1001,0.141858142,Law Enforcement
Online English Teacher,30%,164,1119,0.146559428,Construction
Paraeducator,30%,122,873,0.139747995,Sales & Marketing
Reference Librarian,30%,147,1081,0.135985199,Hospitality
Special Education Aide,30%,122,807,0.1511772,Communication & PR
Special Education Assistant,30%,121,806,0.150124069,Data & IT
Special Education Paraprofessional,30%,121,806,0.150124069,Administrative & Clerical
Archivist,30%,153,1021,0.149853085,Leadership & Strategy
Arts Manager,30%,225,1848,0.121753247,Medical & Healthcare
Cinematographer,30%,216,1549,0.139444803,Supply Chain & Logistics
Civil Designer,30%,174,1333,0.130532633,Law Enforcement
Creative Designer,30%,284,2215,0.128216704,Construction
Creative Strategist,30%,297,2272,0.130721831,Sales & Marketing
Curatorial Assistant,30%,142,936,0.151709402,Hospitality
Film Producer,30%,244,2010,0.121393035,Communication & PR
Game Tester,30%,210,1769,0.118711136,Data & IT
Motion Graphics Designer,30%,236,1764,0.133786848,Administrative & Clerical
Photo Editor,30%,281,1883,0.149229952,Leadership & Strategy
Retoucher,30%,194,1715,0.113119534,Medical & Healthcare
Technical Artist,30%,321,2409,0.133250311,Supply Chain & Logistics
Technical Illustrator,30%,311,2250,0.138222222,Law Enforcement
Vfx Artist,30%,240,1836,0.130718954,Construction
Video Editor,30%,282,2061,0.136826783,Sales & Marketing
Visual Information Specialist,30%,251,1943,0.129181678,Hospitality
Anesthesiologist,30%,106,641,0.165366615,Communication & PR
Assisted Living Administrator,30%,121,663,0.182503771,Data & IT
Biomedical Equipment Technician,30%,132,748,0.176470588,Administrative & Clerical
Cardiologist,30%,140,982,0.142566191,Leadership & Strategy
Cardiology Nurse Practitioner,30%,87,616,0.141233766,Medical & Healthcare
Cardiothoracic Surgeon,30%,79,530,0.149056604,Supply Chain & Logistics
Certified Dental Assistant,30%,107,676,0.158284024,Law Enforcement
Certified Ophthalmic Assistant,30%,108,684,0.157894737,Construction
Ct Technologist,30%,118,681,0.173274596,Sales & Marketing
Cytotechnologist,30%,111,744,0.149193548,Hospitality
Diagnostic Medical Sonographer,30%,120,692,0.173410405,Communication & PR
Echocardiographer,30%,120,687,0.174672489,Data & IT
Eeg Technician,30%,111,669,0.165919283,Administrative & Clerical
Ekg Technician,30%,111,668,0.166167665,Leadership & Strategy
Endoscopy Technician,30%,118,687,0.171761281,Medical & Healthcare
Genetic Counselor,30%,111,1099,0.10100091,Supply Chain & Logistics
Health Specialist,30%,138,844,0.163507109,Law Enforcement
Histologist,30%,113,1142,0.098949212,Construction
Histology Technician,30%,113,1143,0.098862642,Sales & Marketing
Histotechnologist,30%,109,1080,0.100925926,Hospitality
Laboratory Technologist,30%,115,1125,0.102222222,Communication & PR
Laser Technician,30%,132,1242,0.106280193,Data & IT
Mammographer,30%,109,1059,0.10292729,Administrative & Clerical
Mammography Technologist,30%,112,1067,0.104967198,Leadership & Strategy
Medical Dosimetrist,30%,116,670,0.173134328,Medical & Healthcare
Medication Technician,30%,102,517,0.19729207,Supply Chain & Logistics
Brand Director,30%,264,1671,0.157989228,Law Enforcement
Business Unit Manager,30%,236,1437,0.164231037,Construction
Psychiatric Nurse,30%,116,711,0.163150492,Sales & Marketing
Materials Manager,30%,228,1373,0.166059723,Hospitality
Manufacturing Engineer,30%,224,1371,0.163384391,Communication & PR
Outside Machinist,30%,102,664,0.153614458,Data & IT
Procurement Officer,30%,234,1481,0.15800135,Administrative & Clerical
Senior Manufacturing Engineer,30%,214,1348,0.158753709,Leadership & Strategy
Stockroom Associate,30%,175,1239,0.141242938,Medical & Healthcare
Benefits Analyst,30%,249,1443,0.172557173,Supply Chain & Logistics
Cyber Security Specialist,30%,273,1602,0.170411985,Law Enforcement
Information Security Specialist,30%,277,1645,0.168389058,Construction
Transportation Coordinator,30%,202,1350,0.14962963,Sales & Marketing
Assistant Hotel Manager,30%,222,1383,0.160520607,Hospitality
Executive Sous Chef,30%,140,815,0.171779141,Communication & PR
Director Of Rehabilitation,30%,146,886,0.164785553,Data & IT
Chairman,30%,181,1203,0.15045719,Administrative & Clerical
Hotel Sales Manager,30%,233,1492,0.15616622,Leadership & Strategy
Community Health Nurse,30%,124,718,0.17270195,Medical & Healthcare
Service Coordinator,30%,227,1473,0.154107264,Supply Chain & Logistics
Warehouse Administrator,30%,226,1341,0.168530947,Law Enforcement
Fitter,30%,98,690,0.142028986,Construction
Landscape Manager,30%,185,1249,0.148118495,Sales & Marketing
Insurance Consultant,30%,229,1408,0.162642045,Hospitality
Floor Manager,30%,194,1229,0.157851912,Communication & PR
Computer Repair Technician,30%,188,1420,0.132394366,Data & IT
Information Security Consultant,30%,279,1621,0.172115978,Administrative & Clerical
Insurance Coordinator,30%,237,1397,0.169649248,Leadership & Strategy
Compliance Specialist,30%,235,1366,0.172035139,Medical & Healthcare
Management Engineer,30%,259,1854,0.13969795,Supply Chain & Logistics
Process Improvement Manager,30%,736,1896,0.388185654,Law Enforcement
Recruiting Manager,30%,903,2361,0.382465057,Construction
Revenue Cycle Manager,30%,548,1549,0.35377663,Sales & Marketing
Salon Manager,30%,470,1263,0.37212985,Hospitality
Security Analyst,30%,729,1817,0.401210787,Communication & PR
Strategy Analyst,30%,784,1928,0.406639004,Data & IT
Car Sales,30%,221,1515,0.145874587,Administrative & Clerical
Client Success Manager,30%,286,1824,0.156798246,Leadership & Strategy
Director Of Sales,30%,255,1665,0.153153153,Medical & Healthcare
District Sales Manager,30%,247,1635,0.151070336,Supply Chain & Logistics
External Wholesaler,30%,278,1997,0.139208813,Law Enforcement
Finance Manager,30%,306,1997,0.153229845,Construction
National Sales Director,30%,707,2002,0.353146853,Sales & Marketing
National Sales Manager,29%,703,1989,0.353443942,Hospitality
Sales Operations Manager,29%,702,1800,0.39,Communication & PR
Sales Trainer,29%,682,1686,0.404507711,Data & IT
Senior Merchandiser,29%,616,1598,0.385481852,Administrative & Clerical
Technical Sales Engineer,28%,736,2103,0.349976224,Leadership & Strategy
Flight Nurse,28%,177,1511,0.117140966,Medical & Healthcare
Assistant Manager,28%,246,1611,0.152700186,Supply Chain & Logistics
Cannabis,28%,157,1234,0.127228525,Law Enforcement
Coordinator,28%,265,1694,0.156434475,Construction
Hvac Installer,28%,206,1696,0.121462264,Sales & Marketing
Pest Control Technician,28%,214,816,0.262254902,Hospitality
Aerospace Technician,28%,142,1173,0.121057118,Communication & PR
Automotive Engineer,28%,193,1544,0.125,Data & IT
Bridge Engineer,28%,183,1517,0.120632828,Administrative & Clerical
Build Engineer,28%,189,1523,0.124097177,Leadership & Strategy
Chemical Process Engineer,28%,191,1637,0.116676848,Medical & Healthcare
Consulting Engineer,28%,208,1679,0.123883264,Supply Chain & Logistics
Deployment Engineer,28%,203,1683,0.120617944,Law Enforcement
Drilling Engineer,28%,180,1458,0.12345679,Construction
Entry Level Electrical Engineer,28%,186,1491,0.124748491,Sales & Marketing
Facilities Engineer,28%,253,1778,0.142294713,Hospitality
Facility Engineer,28%,254,1788,0.142058166,Communication & PR
Field Engineer,28%,257,1801,0.142698501,Data & IT
Hydraulic Engineer,28%,219,1700,0.128823529,Administrative & Clerical
Industrial Engineer,27%,246,1722,0.142857143,Leadership & Strategy
Infrastructure Engineer,27%,242,1744,0.138761468,Medical & Healthcare
Parking Attendant,26%,191,694,0.275216138,Supply Chain & Logistics
Parking Lot Attendant,26%,189,700,0.27,Law Enforcement
Restaurant Worker,26%,356,1071,0.332399627,Construction
Sous Chef,25%,293,966,0.303312629,Sales & Marketing
Team Member,25%,407,1132,0.359540636,Hospitality
Wine Consultant,25%,323,1073,0.301025163,Communication & PR
Hairstylist,25%,127,992,0.128024194,Data & IT
Home Care Aide,25%,154,1106,0.139240506,Administrative & Clerical
Midwife,25%,327,1006,0.325049702,Leadership & Strategy
Personal Care Assistant,25%,382,1125,0.339555556,Medical & Healthcare
Provider,25%,386,1100,0.350909091,Supply Chain & Logistics
Recreation Leader,25%,600,1484,0.404312668,Law Enforcement
Shopper,25%,366,1162,0.314974182,Construction
Youth Advocate,25%,434,1230,0.352845528,Sales & Marketing
Youth Coordinator,25%,237,1485,0.15959596,Hospitality
Youth Specialist,25%,229,1458,0.157064472,Communication & PR
Combat Engineer,25%,72,569,0.126537786,Data & IT
Fire Marshal,25%,200,1658,0.120627262,Administrative & Clerical
Hospital Security Officer,25%,171,1185,0.144303797,Leadership & Strategy
Safety Officer,25%,463,1279,0.362001564,Medical & Healthcare
Security Agent,25%,294,937,0.313767343,Supply Chain & Logistics
Traffic Coordinator,25%,610,1701,0.358612581,Law Enforcement
Change Manager,25%,241,1573,0.153210426,Construction
Desktop Engineer,25%,214,1711,0.125073057,Sales & Marketing
Desktop Support Analyst,25%,247,1585,0.155835962,Hospitality
Enterprise Architect,25%,242,1885,0.128381963,Communication & PR
Exchange Administrator,25%,260,1835,0.141689373,Data & IT
Gis Manager,25%,264,1844,0.143167028,Administrative & Clerical
Instructional Technology Specialist,25%,288,1982,0.14530777,Leadership & Strategy
Noc Technician,25%,460,1277,0.360219264,Medical & Healthcare
Support Analyst,25%,805,2322,0.346683893,Supply Chain & Logistics
Technical Analyst,25%,836,2289,0.365224989,Law Enforcement
Technical Trainer,25%,867,2423,0.357820883,Construction
Family Therapist,25%,221,1724,0.128190255,Sales & Marketing
Health Psychologist,25%,211,1626,0.129766298,Hospitality
Peer Counselor,25%,529,1380,0.383333333,Communication & PR
Residence Counselor,25%,505,1348,0.37462908,Data & IT
Substance Abuse Counselor,25%,374,1046,0.357552581,Administrative & Clerical
Mri Technician,25%,329,1062,0.309792844,Leadership & Strategy
Mri Technologist,25%,330,1065,0.309859155,Medical & Healthcare
Nuclear Medicine Technologist,25%,321,1071,0.299719888,Supply Chain & Logistics
Operating Room Assistant,25%,306,1037,0.295081967,Law Enforcement
Pathologist Assistant,25%,307,1020,0.300980392,Construction
Patient Coordinator,25%,524,1538,0.340702211,Sales & Marketing
Perfusionist,25%,293,981,0.298674822,Hospitality
Pharmacy Assistant,25%,324,1008,0.321428571,Communication & PR
Physical Therapist Assistant,25%,266,977,0.272262027,Data & IT
Radiology,25%,366,1444,0.253462604,Administrative & Clerical
Vaccinator,25%,163,543,0.300184162,Leadership & Strategy
Aircraft Inspector,25%,103,999,0.103103103,Medical & Healthcare
Audio Visual Technician,25%,172,1241,0.138597905,Supply Chain & Logistics
Auto Body Painter,25%,94,883,0.106455266,Law Enforcement
Automotive Service Manager,25%,133,1044,0.127394636,Construction
Cabinet Installer,25%,80,575,0.139130435,Sales & Marketing
Cabinet Maker,25%,79,874,0.090389016,Hospitality
Crew Scheduler,25%,175,1333,0.131282821,Communication & PR
Driller,25%,62,496,0.125,Data & IT
Finish Carpenter,25%,172,1538,0.11183355,Administrative & Clerical
Form Carpenter,25%,176,1574,0.111817027,Leadership & Strategy
Hvac Apprentice,25%,188,1582,0.118836915,Medical & Healthcare
Hvac Helper,25%,189,1606,0.117683686,Supply Chain & Logistics
Installer,25%,212,1740,0.12183908,Law Enforcement
Lab Technician,25%,233,1706,0.136576788,Construction
Lube Technician,25%,159,1348,0.117952522,Sales & Marketing
Machine Builder,25%,188,1529,0.122956181,Hospitality
Maintenance Specialist,25%,198,1563,0.126679463,Communication & PR
Maintenance Technician,25%,198,1563,0.126679463,Data & IT
Paint Mixer,25%,254,1269,0.200157604,Administrative & Clerical
Pipeline Technician,25%,310,1049,0.295519542,Leadership & Strategy
Printer Technician,25%,342,1417,0.241354975,Medical & Healthcare
Refrigeration Technician,25%,307,1052,0.291825095,Supply Chain & Logistics
Relay Technician,25%,334,1112,0.300359712,Law Enforcement
Small Engine Mechanic,25%,222,782,0.283887468,Construction
Support Worker,25%,430,1274,0.337519623,Sales & Marketing
Tire Technician,25%,212,799,0.265331665,Hospitality
Tool Crib Attendant,25%,213,801,0.265917603,Communication & PR
Toolmaker,25%,213,794,0.268261965,Data & IT
Utility Worker,25%,235,840,0.279761905,Administrative & Clerical
Welding Inspector,25%,232,807,0.287484511,Leadership & Strategy
Cargo Handler,25%,119,828,0.143719807,Medical & Healthcare
Director Of Manufacturing,25%,226,1754,0.128848347,Supply Chain & Logistics
Electrical Inspector,25%,176,1325,0.132830189,Law Enforcement
Factory Worker,25%,182,1461,0.124572211,Construction
Manufacturing Operations Manager,25%,258,1853,0.139233675,Sales & Marketing
Manufacturing Planner,25%,285,1972,0.144523327,Hospitality
Packaging Designer,25%,781,2946,0.265105227,Communication & PR
Press Brake Operator,25%,255,939,0.271565495,Data & IT
Production Scheduler,25%,520,1552,0.335051546,Administrative & Clerical
Sewing Machine Operator,25%,210,758,0.277044855,Leadership & Strategy
Storage Manager,25%,499,1415,0.352650177,Medical & Healthcare
Hospital Receptionist,25%,254,1641,0.154783668,Supply Chain & Logistics
Medical Officer,25%,434,1365,0.317948718,Law Enforcement
Mental Health Case Manager,25%,614,1703,0.360540223,Construction
Patient Care Associate,25%,398,1203,0.330839568,Sales & Marketing
Pharmacy Analyst,25%,508,1517,0.334871457,Hospitality
Assistant Community Manager,25%,292,1791,0.163037409,Communication & PR
Campaign Coordinator,25%,274,1710,0.160233918,Data & IT
Public Information Officer,25%,795,2071,0.383872525,Administrative & Clerical
Social Services Specialist,25%,615,1771,0.347261434,Leadership & Strategy
Director Of Logistics,25%,245,1644,0.149026764,Medical & Healthcare
Director Of Purchasing,25%,222,1482,0.149797571,Supply Chain & Logistics
Receiving Manager,25%,579,1629,0.355432781,Law Enforcement
Shipping Manager,25%,642,1722,0.3728223,Construction
Supply Chain Consultant,25%,714,1970,0.362436548,Sales & Marketing
Supply Manager,25%,643,1800,0.357222222,Hospitality
Fitness Consultant,25%,257,1864,0.137875536,Communication & PR
Fitness Director,25%,253,1854,0.136461704,Data & IT
Fitness Manager,25%,255,1855,0.137466307,Administrative & Clerical
Personal Fitness Trainer,25%,403,1149,0.350739774,Leadership & Strategy
Sports Director,25%,672,1656,0.405797101,Medical & Healthcare
Studio Assistant,25%,718,1857,0.386645127,Supply Chain & Logistics
Trainer,25%,774,1971,0.392694064,Law Enforcement
Wellness Consultant,25%,471,1443,0.326403326,Construction
Wellness Coordinator,25%,449,1517,0.295978906,Sales & Marketing
Wellness Nurse,25%,348,1027,0.338851022,Hospitality
Box Office Manager,25%,179,1350,0.132592593,Communication & PR
Development Assistant,25%,238,1584,0.150252525,Data & IT
Executive Creative Director,25%,368,2299,0.160069595,Administrative & Clerical
Line Producer,25%,334,2201,0.151749205,Leadership & Strategy
Media Consultant,25%,843,2278,0.370061457,Medical & Healthcare
Media Producer,25%,793,2650,0.299245283,Supply Chain & Logistics
Media Relations Manager,25%,831,2391,0.347553325,Law Enforcement
Medical Editor,25%,838,2421,0.34613796,Construction
Medical Writer,25%,833,2432,0.342516447,Sales & Marketing
Public Relations Director,25%,807,2317,0.348295209,Hospitality
Publisher,25%,808,2321,0.348125808,Communication & PR
Segment Producer,25%,906,2715,0.333701657,Data & IT
Television Producer,25%,910,2709,0.335917313,Administrative & Clerical
Video Producer,25%,945,2922,0.323408624,Leadership & Strategy
Writing Assistant,25%,820,2801,0.292752588,Medical & Healthcare
Director Of Quality,25%,223,1650,0.135151515,Supply Chain & Logistics
Qa Director,25%,755,2434,0.310188989,Law Enforcement
Qa Manager,25%,779,2477,0.314493339,Construction
Qa Specialist,25%,786,2543,0.309083759,Sales & Marketing
Qa Supervisor,25%,740,2437,0.303652031,Hospitality
Quality Analyst,25%,760,2449,0.310330747,Communication & PR
Quality Assurance Analyst,25%,783,2547,0.307420495,Data & IT
Quality Assurance Specialist,25%,772,2533,0.304776944,Administrative & Clerical
Quality Control Analyst,25%,728,2499,0.291316527,Leadership & Strategy
Quality Control Inspector,25%,625,2141,0.291919664,Medical & Healthcare
Quality Control Specialist,25%,708,2467,0.286988245,Supply Chain & Logistics
Quality Inspector,25%,457,1684,0.271377672,Law Enforcement
Usability Engineer,25%,915,2369,0.386238919,Construction
Admissions Assistant,25%,256,1782,0.14365881,Sales & Marketing
Aide,25%,212,1608,0.131840796,Hospitality
Assistant Teacher,25%,232,1554,0.149292149,Communication & PR
Classroom Assistant,25%,227,1580,0.143670886,Data & IT
Clinical Instructor,25%,182,1313,0.138613861,Administrative & Clerical
Computer Science Teacher,25%,208,1526,0.136304063,Leadership & Strategy
Custodial Supervisor,25%,171,1327,0.128862095,Medical & Healthcare
Driving Instructor,25%,126,881,0.143019296,Supply Chain & Logistics
Economics Teacher,25%,219,1597,0.137132123,Law Enforcement
Educational Assistant,25%,232,1561,0.148622678,Construction
Graduate Assistant,25%,264,1907,0.138437336,Sales & Marketing
Instructional Coordinator,25%,301,2036,0.1478389,Hospitality
Library Director,25%,281,1861,0.150994089,Communication & PR
Online Teacher,25%,604,1794,0.336677815,Data & IT
Online Tutor,25%,586,1757,0.333523051,Administrative & Clerical
Para Educator,25%,442,1289,0.342901474,Leadership & Strategy
Sign Language Interpreter,25%,288,895,0.321787709,Medical & Healthcare
Special Education Coordinator,25%,429,1280,0.33515625,Supply Chain & Logistics
Superintendent,25%,333,1035,0.32173913,Law Enforcement
Conservator,25%,115,1029,0.111758989,Construction
Director Of Photography,25%,192,1595,0.120376176,Sales & Marketing
Event Designer,25%,386,2432,0.158717105,Hospitality
Multimedia Artist,25%,754,2769,0.272300469,Communication & PR
Multimedia Designer,25%,784,2900,0.270344828,Data & IT
Photography Assistant,25%,600,2154,0.278551532,Administrative & Clerical
Production Artist,25%,748,2900,0.257931034,Leadership & Strategy
Real Estate Photographer,25%,567,2010,0.282089552,Medical & Healthcare
Sound Designer,25%,814,2667,0.305211849,Supply Chain & Logistics
Sound Engineer,25%,798,2599,0.30704117,Law Enforcement
Studio Engineer,25%,789,2589,0.304750869,Construction
Video Production,25%,902,2865,0.314834206,Sales & Marketing
Central Service Technician,25%,149,1171,0.127241674,Hospitality
Clinical Dietitian,25%,183,1330,0.137593985,Communication & PR
Dental Assistant,25%,133,999,0.133133133,Data & IT
Dental Hygienist,25%,134,996,0.134538153,Administrative & Clerical
Dialysis Rn,25%,155,1177,0.131690739,Leadership & Strategy
Dietitian,25%,174,1299,0.133949192,Medical & Healthcare
Discharge Planner,25%,239,1530,0.15620915,Supply Chain & Logistics
Environmental Health Specialist,25%,256,1832,0.139737991,Law Enforcement
Health Technician,25%,230,1743,0.131956397,Construction
Hospital Technician,25%,206,1577,0.130627774,Sales & Marketing
Hygienist,25%,178,1172,0.151877133,Hospitality
Intervention Specialist,25%,248,1844,0.134490239,Communication & PR
Lead Medical Assistant,25%,196,1543,0.127025275,Data & IT
Lead Pharmacy Technician,25%,194,1534,0.126466754,Administrative & Clerical
Marine Engineer,25%,220,1668,0.131894484,Leadership & Strategy
Materials Engineer,25%,445,1345,0.330855019,Medical & Healthcare
Mechanical Project Engineer,25%,463,1361,0.340191036,Supply Chain & Logistics
Packaging Engineer,25%,518,1750,0.296,Law Enforcement
Performance Engineer,25%,479,1384,0.346098266,Construction
Product Development Engineer,25%,497,1399,0.355253753,Sales & Marketing
Reliability Engineer,25%,460,1373,0.335032775,Hospitality
Senior Process Engineer,25%,482,1417,0.340155258,Communication & PR
Senior Project Engineer,25%,483,1415,0.341342756,Data & IT
Senior Structural Engineer,25%,476,1400,0.34,Administrative & Clerical
Shift Engineer,25%,339,1086,0.312154696,Leadership & Strategy
Video Engineer,25%,711,2095,0.339379475,Medical & Healthcare
Welding Supervisor,25%,234,821,0.28501827,Supply Chain & Logistics
Account Representative,25%,211,1581,0.133459836,Law Enforcement
Area Supervisor,25%,217,1508,0.143899204,Construction
Assistant Facility Manager,25%,231,1547,0.149321267,Sales & Marketing
Business Support,25%,269,1795,0.149860724,Hospitality
Counter Manager,25%,170,1337,0.127150337,Communication & PR
Facilitator,25%,287,2002,0.143356643,Data & IT
Facilities Management,25%,261,1856,0.140625,Administrative & Clerical
Master Scheduler,25%,491,1471,0.33378654,Leadership & Strategy
Office Support,25%,615,1612,0.381513648,Medical & Healthcare
Program Officer,25%,722,1874,0.385272145,Supply Chain & Logistics
Program Specialist,25%,737,1916,0.384655532,Law Enforcement
Recovery Specialist,25%,569,1670,0.340718563,Construction
Retention Specialist,25%,551,1584,0.347853535,Sales & Marketing
Senior Administrative Assistant,25%,546,1705,0.320234604,Hospitality
Study Coordinator,25%,588,1705,0.344868035,Communication & PR
Team Coordinator,25%,598,1775,0.336901408,Data & IT
Freight Associate,25%,214,1722,0.1242741,Administrative & Clerical
Freight Coordinator,25%,246,1828,0.134573304,Leadership & Strategy
Loader,25%,108,908,0.118942731,Medical & Healthcare
Mover,25%,165,625,0.264,Supply Chain & Logistics
Parts Runner,25%,205,681,0.3010279,Law Enforcement
Transportation Inspector,25%,257,921,0.279044517,Construction
Banquet Chef,25%,131,1071,0.122315593,Sales & Marketing
Beverage Manager,25%,166,1278,0.129890454,Hospitality
Casino,25%,145,1133,0.127978817,Communication & PR
Casino Host,25%,183,1397,0.130994989,Data & IT
Catering Chef,25%,137,1079,0.126969416,Administrative & Clerical
Chef De Cuisine,25%,132,1016,0.12992126,Leadership & Strategy
Chef De Partie,25%,134,1050,0.127619048,Medical & Healthcare
Crew Chief,25%,109,879,0.124004551,Supply Chain & Logistics
Dining Room Manager,25%,175,1342,0.130402385,Law Enforcement
Executive Housekeeper,25%,201,1261,0.159397304,Construction
Food Prep,25%,129,1314,0.098173516,Sales & Marketing
Food Service Supervisor,25%,195,1337,0.145848915,Hospitality
Food Service Worker,25%,154,1144,0.134615385,Communication & PR
Food Worker,25%,109,864,0.126157407,Data & IT
Houseperson,25%,92,844,0.109004739,Administrative & Clerical
Kitchen Assistant,25%,95,1082,0.08780037,Leadership & Strategy
Kitchen Staff,25%,96,792,0.121212121,Medical & Healthcare
Kitchen Steward,25%,92,725,0.126896552,Supply Chain & Logistics
Warehouse Technician,25%,390,1182,0.329949239,Law Enforcement
Environmental Consultant,25%,229,1840,0.124456522,Construction
Organizational Development Consultant,25%,741,2138,0.346585594,Sales & Marketing
Service Consultant,25%,601,1719,0.349621873,Hospitality
Call Center Agent,25%,296,1897,0.156035846,Communication & PR
Call Center Operator,25%,296,1897,0.156035846,Data & IT
Collections Agent,25%,265,1744,0.151949541,Administrative & Clerical
Customer Support Manager,25%,281,1747,0.160847167,Leadership & Strategy
Customer Support Representative,25%,313,1911,0.163788592,Medical & Healthcare
Solutions Engineer,25%,904,2370,0.381434599,Supply Chain & Logistics
Advertising Sales,25%,240,1570,0.152866242,Law Enforcement
Commercial Manager,25%,264,1735,0.152161383,Construction
Community Manager,25%,335,1928,0.173755187,Sales & Marketing
Digital Producer,25%,373,2471,0.150951032,Hospitality
Lead Generator,25%,479,2883,0.166146375,Communication & PR
Marketing Associate,25%,586,3251,0.18025223,Data & IT
Marketing Communications,25%,581,3233,0.179709248,Administrative & Clerical
